A,,,,,
B,,LEBT1-LebanonTN,OHHT1-OLD_HICKORY,SMLK2-CumberlandR-SmithlandKY,KINT1-HarpethR-KingstonSpringsTN
C,UTC,Precip-Inc,Precip-Inc,Precip-Inc,Precip-Inc
E,,,,,
F,,dcp-rev,dcp-rev,dcp-rev,dcp-rev
Units,,in,in,in,in
Type,,PER-CUM,PER-CUM,PER-CUM,PER-CUM
354,08May2020  0330,0.00000,0.00000,0.00000,0.000
355,08May2020  0400,0.00000,0.00000,0.00000,0.000
356,08May2020  0430,0.00000,0.00000,0.00000,0.000
357,08May2020  0500,0.00000,0.00000,0.00000,0.000
358,08May2020  0530,0.00000,0.00000,0.00000,0.000
359,08May2020  0600,0.00000,0.00000,0.00000,0.000
360,08May2020  0630,0.00000,0.00000,0.00000,0.000
361,08May2020  0700,0.00000,0.00000,0.00000,0.000
362,08May2020  0730,0.00000,0.00000,0.00000,0.000
363,08May2020  0800,0.00000,0.00000,0.00000,0.000
364,08May2020  0830,0.00000,0.00000,0.00000,0.000
365,08May2020  0900,0.00000,0.00000,0.00000,0.000
366,08May2020  0930,0.00000,0.00000,0.03000,0.000
367,08May2020  1000,0.00000,0.00000,0.06000,0.000
368,08May2020  1030,0.00000,0.00000,0.05000,0.000
369,08May2020  1100,0.00000,0.00000,0.03000,0.000
370,08May2020  1130,0.00000,0.00000,0.06000,0.000
371,08May2020  1200,0.00000,0.00000,0.09000,0.000
372,08May2020  1230,0.00000,0.01000,0.05000,0.030
373,08May2020  1300,0.02000,0.10000,0.04000,0.030
374,08May2020  1330,0.08000,0.12000,0.05000,0.010
375,08May2020  1400,0.11000,0.00000,0.03000,0.000
376,08May2020  1430,0.00000,0.00000,0.04000,0.010
377,08May2020  1500,0.01000,0.01000,0.03000,0.000
378,08May2020  1530,0.00000,0.00000,0.01000,0.000
379,08May2020  1600,0.00000,0.00000,0.02000,0.000
380,08May2020  1630,0.00000,0.00000,0.08000,0.000
381,08May2020  1700,0.00000,0.00000,0.01000,0.000
382,08May2020  1730,0.00000,0.02000,0.00000,0.040
383,08May2020  1800,0.01000,0.05000,0.00000,0.060
384,08May2020  1830,0.05000,0.06000,0.00000,0.060
385,08May2020  1900,0.06000,0.02000,0.00000,0.010
386,08May2020  1930,0.00000,0.00000,0.00000,0.000
387,08May2020  2000,0.01000,0.00000,0.00000,0.000
388,08May2020  2030,0.00000,0.00000,0.00000,0.000
389,08May2020  2100,0.00000,0.00000,0.00000,0.000
390,08May2020  2130,0.00000,0.00000,0.00000,0.000
391,08May2020  2200,0.00000,0.00000,0.00000,0.000
392,08May2020  2230,0.00000,0.00000,0.00000,0.000
393,08May2020  2300,0.00000,0.00000,0.00000,0.000
394,08May2020  2330,0.00000,0.00000,0.00000,0.000
395,09May2020  0000,0.00000,0.00000,0.00000,0.000
396,09May2020  0030,0.00000,0.00000,0.00000,0.000
397,09May2020  0100,0.00000,0.00000,0.00000,0.000
398,09May2020  0130,0.00000,0.00000,0.00000,0.000
399,09May2020  0200,0.00000,0.00000,0.00000,0.000
400,09May2020  0230,0.00000,0.00000,0.00000,0.000
